"Char","Freq","Grid"
" ","3532","6"
".","322","1"
"A","65","1"
"C","110","1"
"D","34","1"
"E","28","1"
"F","16","1"
"H","1","1"
"I","63","1"
"J","6","1"
"L","33","1"
"M","56","1"
"N","132","1"
"O","8","1"
"P","87","1"
"Q","31","1"
"R","5","1"
"S","73","1"
"T","22","1"
"U","21","1"
"V","88","1"
"W","1","1"
"a","1448","2"
"b","290","1"
"c","739","1"
"d","537","1"
"e","2211","4"
"f","86","1"
"g","286","1"
"h","141","1"
"i","1899","3"
"j","34","1"
"l","1119","2"
"m","865","1"
"n","1203","2"
"o","802","1"
"p","410","1"
"q","267","1"
"r","1018","1"
"s","1555","2"
"t","1649","3"
"u","1869","3"
"v","229","1"
"w","24","1"
"y","7","1"
