n,k,t
1,25,159.4
11,25,230.027272727273
21,25,280.9
31,25,374.741935483871
41,25,503.163414634146
51,25,592.423529411765
61,25,732.991803278689
71,25,910.630985915493
81,25,1006.84567901235
91,25,1086.46153846154
101,25,1334.68910891089
111,25,1417.86216216216
121,25,1590.53801652893
131,25,1719.90839694656
141,25,1960.23404255319
151,25,2110.24105960265
161,25,2210.6900621118
171,25,2354.20701754386
181,25,2490.81767955801
191,25,2666.80680628272
201,25,2654.9631840796
211,25,2927.97914691943
221,25,3056.28009049774
231,25,3269.85974025974
241,25,3243.53651452282
251,25,3388.57250996016
261,25,3612.92298850575
271,25,3744.23136531365
281,25,3983.69395017794
291,25,4114.75051546392
301,25,4145.07142857143
311,25,4378.77588424437
321,25,4425.29034267913
331,25,4698.78277945619
341,25,4766.21788856305
351,25,4959.85213675214
361,25,5076.98531855956
371,25,5284.47601078167
381,25,5346.66666666667
391,25,5463.826342711
401,25,5679.37032418953
411,25,5921.8301703163
421,25,5855.38598574822
431,25,6111.0807424594
441,25,6302.0156462585
451,25,6512.17161862528
461,25,6612.56268980477
471,25,6711.96326963907
481,25,6846.1577962578
491,25,7054.38676171079
501,25,6999.8624750499
