n,k,t
1,150,159.4
11,150,230.027272727273
21,150,280.9
31,150,374.741935483871
41,150,502.243902439024
51,150,606.733333333333
61,150,757.208196721311
71,150,938.532394366197
81,150,1026.00740740741
91,150,1149.5010989011
101,150,1369.12871287129
111,150,1501.23873873874
121,150,1657.69917355372
131,150,1798.18244274809
141,150,2050.66879432624
151,150,2153.77284768212
161,150,2334.53602484472
171,150,2447.73450292398
181,150,2532.98839779006
191,150,2790.57748691099
201,150,2768.65870646766
211,150,3042.48530805687
221,150,3101.01764705882
231,150,3400.82207792208
241,150,3324.6622406639
251,150,3528.30956175299
261,150,3670.32030651341
271,150,3806.22472324723
281,150,4013.71209964413
291,150,4159.09037800687
301,150,4173.69833887043
311,150,4365.75434083601
321,150,4503.54143302181
331,150,4709.18519637462
341,150,4810.76070381232
351,150,4990.54045584046
361,150,5145.46066481994
371,150,5272.58490566038
381,150,5396.7188976378
391,150,5482.86751918159
401,150,5670.35960099751
411,150,5913.8600973236
421,150,5886.71662707838
431,150,6065.7505800464
441,150,6292.55646258503
451,150,6583.57605321508
461,150,6607.05292841649
471,150,6728.44670912951
481,150,6791.5972972973
491,150,6996.10753564155
501,150,6969.86946107784
