n,k,t
1,2,159.4
11,2,430.245454545455
21,2,912.704761904762
31,2,1195.49677419355
41,2,1816.03902439024
51,2,2143.53333333333
61,2,2688.47540983607
71,2,3222.34225352113
81,2,3672.25555555556
91,2,3919.33736263736
101,2,4691.61386138614
111,2,4979.64504504504
121,2,5589.93140495868
131,2,5971.39770992366
141,2,6672.08085106383
151,2,7057.12450331126
161,2,7550.99130434783
171,2,7950.33859649123
181,2,8424.26022099447
191,2,8973.06753926702
201,2,9051.48109452736
211,2,9821.67677725118
221,2,10303.6416289593
231,2,10915.5484848485
241,2,11040.3547717842
251,2,11481.0725099602
261,2,12229.4
271,2,12506.3944649446
281,2,13383.4601423488
291,2,13716.860137457
301,2,13946.3083056478
311,2,14505.129903537
321,2,15034.568847352
331,2,15548.2785498489
341,2,16003.5794721408
351,2,16426.1096866097
361,2,16849.9493074792
371,2,17391.9056603774
381,2,17823.8648293963
391,2,18233.6109974425
401,2,18900.2426433915
411,2,19470.4695863747
421,2,19447.3479809976
431,2,20332.1589327146
441,2,20816.4718820862
451,2,21596.2625277162
461,2,21847.9023861171
471,2,22210.989596603
481,2,22447.3428274428
491,2,23033.8484725051
501,2,23169.5357285429
